name	age	causative	random
Liz	33	2.0	0.5714285714285714
Liz	34	0.0	0.0
Liz	35	0.0	0.0
Nicole	25	1.1111111111111112	1.6363636363636365
Nicole	26	1.5555555555555556	1.0
Nicole	27	2.25	0.0
Nicole	28	2.0	1.4545454545454546
Nicole	29	2.090909090909091	1.2
Nicole	30	1.3333333333333333	2.0
Nicole	31	1.7894736842105263	1.3333333333333333
Nicole	32	1.3333333333333333	1.7777777777777777
Nicole	33	2.5384615384615383	1.25
Nicole	34	2.5	2.125
Nicole	35	2.8	1.875
Nicole	36	3.4285714285714284	2.0
Ruth	23	1.5	0.0
Ruth	24	1.6923076923076923	1.5
Ruth	25	2.0	2.8
Ruth	26	1.8461538461538463	2.0
Ruth	27	1.5	1.0
Ruth	28	1.5	1.0909090909090908
Ruth	29	2.0	0.75
Ruth	30	1.2	0.5
Ruth	31	1.5	1.1428571428571428
Ruth	32	1.5714285714285714	2.0
Ruth	33	1.6	1.7777777777777777
Ruth	34	2.2857142857142856	0.0
Ruth	35	0.8	2.8
Ruth	36	1.4	1.4545454545454546
Warren	22	0.0	1.6
Warren	23	0.8	0.8
Warren	24	0.8571428571428571	1.8181818181818181
Warren	25	2.210526315789474	2.1052631578947367
Warren	26	2.3157894736842106	1.2307692307692308
Warren	27	2.625	0.4
Warren	28	1.3846153846153846	1.4285714285714286
Warren	29	2.2	1.0
